strategy,symbol,trades,exposure,full_ann_pct,oos_sharpe,oos_hold_sharpe,oos_sharpe_gap,is_excess_ann_pct,is_t,is_p,oos_excess_ann_pct,oos_t,oos_p,bonferroni_alpha,bonferroni_t_bar,beats_bonferroni,beats_fdr
MACD trend,GLD,170.0,0.5126491646778043,-4.665235848988204,0.6333186128272076,0.9492956056479085,-0.3159769928207009,-1.8774340864651757,-0.5216575679302355,0.6019087733504047,-8.853599906781165,-1.833820259483566,0.06668067936672628,0.00014367816091954023,3.8017491435230113,False,False
Sell in May,MSFT,16.5,0.4909307875894988,-11.448496149627152,0.4022586603942148,0.758518520439947,-0.35625986004573224,-10.041671367845963,-1.9388564150375946,0.05251882439921518,-13.562094910785868,-1.8239761779672956,0.06815567374927523,0.00014367816091954023,3.8017491435230113,False,False
Z-score mean reversion,SPY,82.0,0.1286396181384248,-8.507175350301113,0.4363462681006031,0.8195964811093545,-0.38325021300875134,-7.043235974942092,-1.859450864482564,0.06296325777329881,-10.706582476363206,-1.8129903905570357,0.06983330344863425,0.00014367816091954023,3.8017491435230113,False,False
Z-score mean reversion,XOM,77.0,0.16825775656324582,-9.004060598276364,0.1650044161861051,0.6889250736096219,-0.5239206574235168,-1.963285021142748,-0.39488602827762265,0.6929270016362441,-19.582047800481288,-1.8104273085774891,0.07022954757653488,0.00014367816091954023,3.8017491435230113,False,False
Gap fade,GLD,564.0,0.14892601431980906,-10.071208515212955,0.1455829949971791,0.9492956056479085,-0.8037126106507294,-6.1472655952263855,-1.168030658652909,0.24279439835917982,-15.966499102886925,-1.8065415473956832,0.07083379048579497,0.00014367816091954023,3.8017491435230113,False,False
52-week high,XOM,103.0,0.13866348448687352,-12.136253881820783,0.08124422713169217,0.6889250736096219,-0.6076808464779296,-5.899075835002749,-1.0537978101977594,0.2919754962943464,-21.506924603294713,-1.8021058334574789,0.07152875609873699,0.00014367816091954023,3.8017491435230113,False,False
Absolute momentum with trend filter,GLD,56.0,0.47995226730310264,-4.074047010339033,0.6950021641922733,0.9492956056479085,-0.25429344145563515,-2.5631561890859174,-0.6542881611856939,0.5129261717240747,-6.343993495077137,-1.8001680530777497,0.07183410660484468,0.00014367816091954023,3.8017491435230113,False,False
Keltner breakout,JNJ,54.5,0.2873508353221957,-9.017738011394627,0.16696979037122858,0.6971368036331438,-0.5301670132619152,-6.8345537477674565,-1.5783095553899082,0.11449451178683145,-12.29773109563736,-1.7998045817461858,0.07189150025738789,0.00014367816091954023,3.8017491435230113,False,False
ADX trend,JPM,62.0,0.20477326968973747,-16.93011005267898,0.13722302470581754,0.7018389436765345,-0.564615918970717,-14.82950141591249,-1.97910063902474,0.04780467655201259,-20.086042383304857,-1.7959909858322014,0.07249595065541703,0.00014367816091954023,3.8017491435230113,False,False
Keltner breakout,QQQ,73.0,0.3620525059665871,-15.32923146941269,0.5908650176890712,0.8819074032771961,-0.2910423855881249,-15.050621842875875,-3.009588400744265,0.0026160193821045397,-15.747811643092561,-1.79521778562823,0.07261900783953545,0.00014367816091954023,3.8017491435230113,False,False
ADX trend,AAPL,78.0,0.3031026252983294,-18.38338653584504,0.5536712171858349,0.87676848310913,-0.32309726592329513,-17.865249971403383,-2.4217152231081234,0.015447450689913378,-19.1618294627093,-1.7917310246745421,0.07317606231681806,0.00014367816091954023,3.8017491435230113,False,False
Golden cross,GLD,12.0,0.6033412887828162,-3.5227044604548707,0.7246266409294304,0.9492956056479085,-0.22466896471847808,-2.2889622847797044,-0.6331296464248998,0.5266489837630057,-5.3762657339453375,-1.7835211334003171,0.07450151095182767,0.00014367816091954023,3.8017491435230113,False,False
RSI mean reversion,AAPL,21.0,0.13031026252983294,-21.98761052401831,0.5318278338151496,0.87676848310913,-0.3449406492939804,-24.635726536933202,-3.472275623936584,0.0005160662022429818,-18.00910886781702,-1.7819555285065354,0.07475648414973302,0.00014367816091954023,3.8017491435230113,False,False
Stochastic reversion,AAPL,75.5,0.4002386634844869,-20.720248849427065,0.55206288616091,0.87676848310913,-0.32470559694822,-24.190050990945224,-4.127396648744116,3.6689323756888825e-05,-15.507254592606179,-1.7715780850410832,0.07646462018115874,0.00014367816091954023,3.8017491435230113,False,False
VWAP reversion,JNJ,50.0,0.1594272076372315,-9.274973543342345,0.25391731881975155,0.6971368036331438,-0.44321948481339224,-8.363590373412501,-1.9962090560297705,0.04591117213359808,-10.644226035799669,-1.769450355167874,0.07681874861378457,0.00014367816091954023,3.8017491435230113,False,False
ADX trend,KO,64.5,0.2405727923627685,-11.316361209905086,-0.11713078357236353,0.5980152216433454,-0.7151460052157089,-10.213450509463845,-2.51094518154849,0.012040839333449238,-12.973362650532156,-1.7670713802919582,0.0772162748162879,0.00014367816091954023,3.8017491435230113,False,False
52-week high,JPM,149.0,0.21026252983293556,-17.382976687534224,0.14482457727293183,0.7018389436765345,-0.5570143664036027,-15.461880685606715,-2.037225311601093,0.0416274684528557,-20.26921112292711,-1.7664763093897993,0.07731597268811674,0.00014367816091954023,3.8017491435230113,False,False
Bollinger reversion,XOM,69.0,0.22768496420047732,-9.541999511907884,0.20666545984657606,0.6889250736096219,-0.4822596137630458,-3.48653214969636,-0.7589488116865958,0.4478831781788999,-18.6396700112878,-1.763266072598635,0.07785562462756168,0.00014367816091954023,3.8017491435230113,False,False
