strategy,symbol,sessions,trades,trades_per_session,win_rate,expectancy_pct,expectancy_bps,gross_bps,cost_bps,payoff_ratio,profit_factor,t_stat,p_value,kelly,suggested_size,stdev_pct,trades_needed,avg_bars_held,bonferroni_t_bar,clears_bar
Bollinger reversion,AAPL,382,353,0.9240837696335078,0.5807365439093485,-0.035839216476373816,-3.5839216476373816,0.4160783523626187,4.0,0.5624395886012665,0.779054835562565,-1.264502996122625,0.20604954600913894,0.0,0.0,0.5325078280761958,,11.736543909348441,3.5248461468124797,False
Bollinger reversion,NVDA,382,350,0.9162303664921466,0.5942857142857143,0.001211323939387776,0.12113239393877759,4.121132393938779,4.0,0.686854994775462,1.0060974571358878,0.04005108585815161,0.9680523983139282,0.0036016706370010088,0.0009004176592502522,0.5658222578082623,1710628.0,11.154285714285715,3.5248461468124797,False
Bollinger reversion,AMD,382,349,0.9136125654450262,0.6160458452722063,-0.006404077065543995,-0.6404077065543995,3.3595922934456004,4.0,0.6083947664831627,0.9761557820438805,-0.13293106714034447,0.8942478969074414,0.0,0.0,0.9000005436965036,,11.48137535816619,3.5248461468124797,False
Bollinger reversion,TSLA,382,345,0.9031413612565445,0.5681159420289855,-0.042012109385192016,-4.201210938519202,-0.20121093851920113,4.0,0.6534177414267258,0.8595293779841493,-0.8736204546013898,0.3823249831316389,0.0,0.0,0.8932257639108846,,11.924637681159421,3.5248461468124797,False
Bollinger reversion,MSFT,382,369,0.9659685863874345,0.5338753387533876,-0.03733529609685987,-3.733529609685987,0.26647039031401343,4.0,0.6408131279653492,0.7339545709835685,-1.9934351707042073,0.046213815841329,0.0,0.0,0.35977473889720246,,11.997289972899729,3.5248461468124797,False
Bollinger reversion,ALL,3056,2792,0.9136125654450262,0.5798710601719198,-0.02363798943579975,-2.3637989435799747,0.8757032054171607,,0.6288310920453271,0.8679262898733031,-2.147118771940055,0.031783827200363435,0.0,0.0,0.5817175579361759,,11.723495702005732,3.5248461468124797,False
Buy and hold,SPY,382,382,1.0,0.5314136125654451,-0.0012667073096508513,-0.12667073096508513,1.4633292690349144,1.59,0.8766040383221539,0.9941375406670238,-0.03284057178068327,0.973801724046756,0.0,0.0,0.7538713664011389,,59.74869109947644,3.5248461468124797,False
Buy and hold,QQQ,382,382,1.0,0.5366492146596858,-0.001496514047438602,-0.1496514047438602,1.9703485952561377,2.12,0.8586295747945253,0.9944579821066536,-0.031936562737139906,0.9745226406539935,0.0,0.0,0.915849910115297,,59.738219895287955,3.5248461468124797,False
Buy and hold,IWM,382,382,1.0,0.5104712041884817,0.014235490221548675,1.4235490221548674,3.5235490221548713,2.1,1.0028095559194232,1.0457104994881683,0.2896987200021866,0.772046735646083,0.022313913582395317,0.005578478395598829,0.9604118998413093,35686.0,59.746073298429316,3.5248461468124797,False
Buy and hold,AAPL,382,382,1.0,0.4816753926701571,-0.06618210520206855,-6.618210520206855,-2.618210520206853,4.0,0.89752762223179,0.8340660731850976,-1.1215529883862,0.26205254973611325,0.0,0.0,1.1533270079057385,,59.74869109947644,3.5248461468124797,False
Buy and hold,NVDA,382,382,1.0,0.518324607329843,0.045799049723774396,4.57990497237744,8.579904972377438,4.0,1.0202377955439295,1.0978645843353152,0.5888287914155818,0.5559761298384123,0.04620389706605915,0.011550974266514788,1.5201943402846965,8638.0,59.74869109947644,3.5248461468124797,False
Buy and hold,AMD,382,382,1.0,0.49214659685863876,-0.00020930219800697577,-0.020930219800697578,3.9790697801993034,4.0,1.0315927536180756,0.9996878230938051,-0.002041398684321655,0.9983712006386214,0.0,0.0,2.003907358648082,,59.730366492146594,3.5248461468124797,False
Buy and hold,TSLA,382,382,1.0,0.5340314136125655,0.09075106294766383,9.075106294766384,13.075106294766384,4.0,1.0014453252107265,1.1477238558594844,0.8823760462196162,0.3775734848786485,0.06873533138322924,0.01718383284580731,2.0101556741559086,3847.0,59.74869109947644,3.5248461468124797,False
