label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,n_symbols,t_R_symclust
K14_band70_imp3,24,0.11592656533623358,-1.0,0.4166666666666667,0.4160948355806537,0.6773406088566571,-0.07654118131027143,-0.8617191809032673,0.3888420679374265,-7.654118131027143,0.27760056375203473,6.333333333333333,0.2916666666666667,0.5416666666666666,0.16666666666666666,9,0.16275506874599463
K14_band80_imp1.5,1478,0.011069699695126368,-0.9074670225157908,0.4066305818673884,0.3527877823135785,0.7242475439132672,0.011757078094258522,0.924741984094204,0.35510013502469295,1.1757078094258522,0.2453249608392899,8.56765899864682,0.2009472259810555,0.4986468200270636,0.3004059539918809,10,0.20480859982445945
K14_band80_imp2,355,0.030531555450454505,-0.43264528507170585,0.4253521126760563,0.48699222166420686,0.6262638431728622,0.006997673057250458,0.30727204546100867,0.7586363116079486,0.6997673057250459,0.24754942851306044,7.118309859154929,0.18309859154929578,0.476056338028169,0.3408450704225352,10,0.4372336318590706
K14_band80_imp3,21,0.18350591203147473,-1.0,0.42857142857142855,0.6111021018304456,0.5411319884528178,-0.036970679583737044,-0.42084290641458544,0.6738697982536983,-3.6970679583737045,0.22915433330278986,5.523809523809524,0.2857142857142857,0.5238095238095238,0.19047619047619047,9,0.269727573983891
K14_band90_imp1.5,774,0.04325103010379875,-0.5986547870639186,0.4198966408268734,0.9880173628136752,0.3231441448590169,0.03313330117972295,1.798251407226882,0.07213717640662587,3.3133301179722947,0.2678040814376511,8.664082687338501,0.20671834625322996,0.4870801033591731,0.3062015503875969,10,1.0814102835043893
K14_band90_imp2,205,0.03579924713994735,-0.43264528507170585,0.4195121951219512,0.42995488131174875,0.6672284620703788,0.012114928735246716,0.3683974656711935,0.7125768868959095,1.2114928735246717,0.27632079473354587,7.697560975609756,0.18536585365853658,0.4682926829268293,0.3463414634146341,10,0.2756042874445258
K14_band90_imp3,13,0.014600307786629428,-1.0,0.38461538461538464,0.040326284489687635,0.9678329988263175,0.025263043743738552,0.43230729077042007,0.6655180889300691,2.526304374373855,0.12411013341926969,3.8461538461538463,0.23076923076923078,0.5384615384615384,0.23076923076923078,5,0.10812026324536378
K21_band70_imp1.5,1631,0.008566634688333756,-0.9616375800768148,0.39975475168608215,0.28549300093965896,0.7752664658306312,0.013984620807753896,1.1778400885017666,0.23886036338099048,1.3984620807753896,0.24619731802554348,8.534641324340894,0.20600858369098712,0.49908031882280807,0.2949110974862048,10,0.2978502813362077
K21_band70_imp2,396,0.02972242549389807,-0.28159151898776436,0.42676767676767674,0.5124011016548871,0.6083703201332076,0.010495128687615624,0.49118740569291686,0.6232939057760607,1.0495128687615622,0.2694408284531398,7.755050505050505,0.1691919191919192,0.45202020202020204,0.3787878787878788,10,0.13978371854107793
K21_band70_imp3,23,0.14701193589881734,-0.5414113131623669,0.43478260869565216,0.5345892730558336,0.59293390283536,-0.03886650643038426,-0.44424217413353567,0.656867503755866,-3.886650643038426,0.26860630705067384,6.304347826086956,0.2608695652173913,0.4782608695652174,0.2608695652173913,10,0.37768333973380647
K21_band80_imp1.5,1299,-0.006497046538284212,-1.0,0.3987682832948422,-0.19378876453340593,0.8463412848496124,0.0022534661723405285,0.16485347756477411,0.8690593108112494,0.22534661723405286,0.2512231095475166,8.534257120862202,0.20246343341031564,0.5080831408775982,0.2894534257120862,10,-0.2738059608754992
K21_band80_imp2,301,3.206034384155108e-05,-0.5129965607600471,0.42524916943521596,0.0004814935105379569,0.9996158237766593,-0.0012499874816980106,-0.052518402654192456,0.9581156323711142,-0.12499874816980105,0.2670949677842057,7.634551495016611,0.16611295681063123,0.4750830564784053,0.3588039867109635,10,-0.5247705930562598
K21_band80_imp3,19,0.05136487052853818,-1.0,0.42105263157894735,0.1747601197154799,0.8612681258760779,-0.07816389862610991,-0.8590624367270872,0.3903060699323748,-7.816389862610991,0.26860630705067384,5.7368421052631575,0.21052631578947367,0.5263157894736842,0.2631578947368421,8,0.0374320537173102
K21_band90_imp1.5,742,-0.03574319067363258,-1.0,0.3894878706199461,-0.8164713252456011,0.41423061729899024,-0.00315843658217974,-0.16947827248541744,0.8654204611860152,-0.315843658217974,0.2678040814376511,8.262803234501348,0.18463611859838275,0.5148247978436657,0.3005390835579515,10,-0.9983144317132041
K21_band90_imp2,187,0.03115319823298962,-0.43264528507170585,0.42245989304812837,0.36026579845302226,0.7186483733549842,0.030115697559678287,0.8647704661112545,0.38716478427481205,3.0115697559678285,0.2897004038532605,7.668449197860962,0.17647058823529413,0.47058823529411764,0.35294117647058826,10,0.44697725444833836
K21_band90_imp3,11,0.09419805218607923,-1.0,0.36363636363636365,0.22277131757213114,0.8237134923261324,0.11583239441209847,0.5002687553734163,0.6168858512717019,11.583239441209848,0.25940044973091125,5.545454545454546,0.2727272727272727,0.5454545454545454,0.18181818181818182,7,0.1418468890332519
