round_trip_bps,n,mean_pct,total_pct,win_rate,t,p,spec
2,690,0.28322661692011325,195.42636567487813,0.43043478260869567,3.2580086309724035,0.001121969938597811,TSLA|OR5|touch|or|eod|long_only
3,690,0.27322661692011324,188.52636567487812,0.4289855072463768,3.142976764744543,0.0016723911472256159,TSLA|OR5|touch|or|eod|long_only
5,690,0.2532266169201132,174.7263656748781,0.427536231884058,2.912913032288821,0.0035807431054251104,TSLA|OR5|touch|or|eod|long_only
8,690,0.22322661692011317,154.0263656748781,0.4246376811594203,2.5678174336052377,0.010234103987460053,TSLA|OR5|touch|or|eod|long_only
10,690,0.20322661692011315,140.22636567487808,0.41884057971014493,2.337753701149516,0.01940002863947443,TSLA|OR5|touch|or|eod|long_only
20,690,0.1032266169201132,71.22636567487811,0.40144927536231884,1.1874350388709092,0.23505606595308537,TSLA|OR5|touch|or|eod|long_only
0,690,0.251873040959444,173.79239826201638,0.45362318840579713,3.482471810435406,0.0004968075241866821,TSLA|OR5|touch|or|2R|long_only
1,690,0.24187304095944406,166.8923982620164,0.45362318840579713,3.344208826943015,0.000825175988201643,TSLA|OR5|touch|or|2R|long_only
2,690,0.23187304095944405,159.9923982620164,0.45362318840579713,3.2059458434506234,0.0013461932189691161,TSLA|OR5|touch|or|2R|long_only
3,690,0.22187304095944407,153.09239826201642,0.45217391304347826,3.067682859958232,0.0021572542912946524,TSLA|OR5|touch|or|2R|long_only
5,690,0.20187304095944403,139.29239826201638,0.45072463768115945,2.7911568929734485,0.005252000746262864,TSLA|OR5|touch|or|2R|long_only
8,690,0.17187304095944403,118.59239826201637,0.4492753623188406,2.376367942496274,0.017484018559135173,TSLA|OR5|touch|or|2R|long_only
10,690,0.151873040959444,104.79239826201636,0.4434782608695652,2.0998419755114908,0.03574274440287395,TSLA|OR5|touch|or|2R|long_only
20,690,0.051873040959444026,35.79239826201638,0.4289855072463768,0.7172121405875759,0.4732432092750476,TSLA|OR5|touch|or|2R|long_only
