symbol,level,horizon,date,entry,fwd_pct,bars_avail,outcome,resume,episode_id,touch_before_resume
AAPL,0.382,5,2016-04-21,23.95738410949707,-10.512413888256166,5,fail,False,AAPL_322,True
AAPL,0.382,10,2016-04-21,23.95738410949707,-11.477123369172194,10,fail,False,AAPL_322,True
AAPL,0.5,5,2016-04-21,23.95738410949707,-10.512413888256166,5,fail,False,AAPL_322,True
AAPL,0.5,10,2016-04-21,23.95738410949707,-11.477123369172194,10,fail,False,AAPL_322,True
AAPL,0.618,5,2016-04-21,23.95738410949707,-10.512413888256166,5,fail,False,AAPL_322,True
AAPL,0.618,10,2016-04-21,23.95738410949707,-11.477123369172194,10,fail,False,AAPL_322,True
AAPL,0.786,5,2016-04-21,23.95738410949707,-10.512413888256166,5,fail,False,AAPL_322,True
AAPL,0.786,10,2016-04-21,23.95738410949707,-11.477123369172194,10,fail,False,AAPL_322,True
AAPL,0.236,5,2016-06-03,22.272239685058597,0.9293514433588834,5,resume,True,AAPL_352,True
AAPL,0.236,10,2016-06-03,22.272239685058597,-2.644996158282209,10,resume,True,AAPL_352,True
AAPL,0.236,5,2016-06-13,22.140323638916016,-2.301216084968316,5,fail,False,AAPL_358,True
AAPL,0.236,10,2016-06-13,22.140323638916016,-5.444875242787129,10,fail,False,AAPL_358,True
AAPL,0.382,5,2016-06-13,22.140323638916016,-2.301216084968316,5,fail,False,AAPL_358,True
AAPL,0.382,10,2016-06-13,22.140323638916016,-5.444875242787129,10,fail,False,AAPL_358,True
AAPL,0.5,5,2016-06-13,22.140323638916016,-2.301216084968316,5,fail,False,AAPL_358,True
AAPL,0.5,10,2016-06-13,22.140323638916016,-5.444875242787129,10,fail,False,AAPL_358,True
AAPL,0.618,5,2016-06-13,22.140323638916016,-2.301216084968316,5,fail,False,AAPL_358,True
AAPL,0.618,10,2016-06-13,22.140323638916016,-5.444875242787129,10,fail,False,AAPL_358,True
