label,n,mean_pct,median_pct,std_pct,win_rate,total_pct,t,p,best,worst,avg_R,median_R,expectancy_R,pct_stopped,pct_target,pct_eod,mean_R_dollars,ma,vwap,fill,stop,target,breakeven_bps,mean_net_1x,mean_net_2x,passes_bonferroni
sma|rth|trigger|c20|3R,1945,-0.10924645978867477,-1.7271157167530138,5.822192782882543,0.2910025706940874,-212.48436428897242,-0.8275239911802186,0.4079401297378409,25.00000000000002,-15.461847389558226,-0.012940102827763771,-1.0,-0.012940102827763771,0.6843187660668381,0.2179948586118252,0.09768637532133675,0.19999999999999976,sma,rth,trigger,c20,3R,-10.924645978867478,-0.5592464597886748,-1.0092464597886748,False
ema|rth|trigger|c20|3R,2052,-0.11050683133494203,-1.710132847857393,5.825613084883314,0.28898635477582846,-226.76001789930106,-0.8592828961231088,0.3901844582126306,25.00000000000002,-15.461847389558226,-0.021472709551657202,-1.0,-0.021472709551657202,0.6846978557504874,0.21734892787524365,0.097953216374269,0.19999999999999976,ema,rth,trigger,c20,3R,-11.050683133494204,-0.5605068313349421,-1.0105068313349421,False
ema|premkt|trigger|atr|trail,1816,-0.11757557691055857,-0.9834050447789788,5.9107301349636785,0.3783039647577093,-213.51724766957437,-0.8476838501533266,0.3966140628016537,84.66898954703834,-18.822857142857142,-0.01471353350746656,-0.3111057809434065,-0.01471353350746656,0.9928414096916299,0.0,0.007158590308370044,0.43930610840151046,ema,premkt,trigger,atr,trail,-11.757557691055858,-0.5675755769105586,-1.0175755769105586,False
sma|rth|trigger|pullback|trail,1945,-0.11800102154477962,-0.8777429467084708,6.854115434125159,0.374293059125964,-229.51198690459637,-0.7592663548119479,0.4476932397196345,81.50892133471844,-23.647294589178358,0.01490657996265201,-0.2874251497006009,0.01490657996265201,0.990745501285347,0.0,0.009254498714652956,0.4915061182519281,sma,rth,trigger,pullback,trail,-11.800102154477962,-0.5680010215447796,-1.0180010215447797,False
ema|premkt|trigger|atr|3R,1816,-0.12264074254198713,-2.7091060521011014,8.400676334900995,0.28083700440528636,-222.71558845624864,-0.6221261278682999,0.5338589357914736,53.30940766550525,-20.882157085941945,-0.028590152619998994,-1.0,-0.028590152619998994,0.6954845814977973,0.20209251101321585,0.10242290748898679,0.43930610840151046,ema,premkt,trigger,atr,3R,-12.264074254198713,-0.5726407425419872,-1.0226407425419872,False
ema|rth|nextopen|pullback|trail,2044,-0.12435020556589113,-0.8666782075985979,6.813013722029384,0.35812133072407043,-254.17182017668148,-0.8251780928412528,0.40927048892038354,62.94783155248269,-33.54978354978354,-0.005431031340898979,-0.35318331978484085,-0.005431031340898979,0.9809197651663405,0.0,0.01908023483365949,0.5082607142857143,ema,rth,nextopen,pullback,trail,-12.435020556589112,-0.5743502055658911,-1.024350205565891,False
ema|rth|trigger|pullback|2R,2052,-0.12940732137078953,-2.518535009091527,8.510354320907476,0.34990253411306044,-265.5438234528601,-0.6888106987469038,0.4909424020568933,45.97116200169633,-26.08340147179067,0.028856914826700747,-1.0,0.028856914826700747,0.6247563352826511,0.3079922027290448,0.06725146198830409,0.48647387914230034,ema,rth,trigger,pullback,2R,-12.940732137078953,-0.5794073213707895,-1.0294073213707895,False
sma|premkt|trigger|atr|3R,1788,-0.12959493107003126,-2.7356737183674706,8.520104885879755,0.2829977628635347,-231.7157367532159,-0.643171558148991,0.5201127863041506,53.30940766550525,-20.882157085941945,-0.027334146118102764,-1.0,-0.027334146118102764,0.6929530201342282,0.20022371364653244,0.10682326621923938,0.4462237655800575,sma,premkt,trigger,atr,3R,-12.959493107003125,-0.5795949310700312,-1.0295949310700312,False
ema|rth|trigger|pullback|1R,2052,-0.13079579501288258,-0.4215497577925109,6.320731922703069,0.496588693957115,-268.39297136643506,-0.9373787174519894,0.34856378446316505,28.457446808510632,-26.08340147179067,0.020910998680331885,-0.09277322657071779,0.020910998680331885,0.489766081871345,0.489766081871345,0.02046783625730994,0.48647387914230034,ema,rth,trigger,pullback,1R,-13.079579501288258,-0.5807957950128826,-1.0307957950128825,False
sma|rth|trigger|c20|trail,1945,-0.132173883529886,-0.7683863885839526,4.291074962360668,0.3856041131105398,-257.07820346562823,-1.3584365307446935,0.17432520926337403,68.91664535580173,-15.461847389558226,0.014834961439588849,-0.30000000000000354,0.014834961439588849,0.9763496143958869,0.0,0.02365038560411311,0.19999999999999976,sma,rth,trigger,c20,trail,-13.217388352988598,-0.582173883529886,-1.032173883529886,False
