series,deposit_at,end,t2007,t2009,diff,n2007,n2009,ratio,err,err_2007_only,err_ratio
SPY_TR,close,2020-11,414826.83996739413,343168.31242360483,71658.5275437893,161,142,1.2088145232224543,287995.15239099896,167826.83996739413,0.101191204836804
SPY_TR,close,2020-12,431195.4974638679,356882.1384086733,74313.3590551946,162,143,1.2082294154214488,318077.63587254117,184195.49746386788,0.10060609703579848
SPY_TR,close,2021-01,427801.42015026376,354245.3478641628,73556.07228610094,163,144,1.2076416041299896,312046.7680144266,180801.42015026376,0.10001828574433924
SPY_TR,close,2021-02,440696.66478142014,365095.32702228066,75601.33775913948,164,145,1.2070728715586265,335791.9918037008,193696.66478142014,0.09944955317297621
SPY_TR,close,2021-03,461703.9690072058,382670.3861568226,79033.58285038319,165,146,1.2065317456208757,374374.3551640284,214703.9690072058,0.09890842723522542
SPY_TR,close,2021-04,487132.95376681763,403917.6650604049,83215.28870641271,166,147,1.2060204242217731,421050.61882722256,240132.95376681763,0.09839710583612282
SPY_TR,close,2021-05,491331.4957761619,407569.8108658196,83761.68491034227,167,148,1.2055149392257571,428901.30664198153,244331.4957761619,0.09789162084010683
SPY_TR,close,2021-06,503350.77076864825,417710.5312616726,85640.23950697563,168,149,1.205022935975073,451061.30203032086,256350.77076864825,0.09739961758942273
SPY_TR,close,2021-07,516638.8245950002,428907.8922076771,87730.93238732306,169,150,1.204544924402659,475546.7168026773,269638.8245950002,0.09692160601700861
SPY_TR,close,2021-08,533014.0041520351,442672.19783509866,90341.80631693645,170,151,1.204082855798841,505686.20198713377,286014.0041520351,0.09645953741319069
SPY_TR,close,2021-09,509172.63221779035,423041.24888120475,86131.3833365856,171,152,1.203600437461767,462213.8810989951,262172.63221779035,0.09597711907611672
SPY_TR,close,2021-10,545897.9454340287,453723.2862951976,92174.65913883114,172,153,1.203151704845189,529621.2317292264,298897.94543402875,0.09552838645953865
SPY_TR,close,2021-11,542511.7784504032,451077.7219279096,91434.05652249366,173,154,1.2027013352193583,523589.50037831283,295511.77845040325,0.09507801683370798
SPY_TR,close,2021-12,568601.6308461723,472938.9712348233,95662.65961134905,174,155,1.202272735870292,571540.6020809957,321601.63084617234,0.09464941748464173
SPY_TR,close,2022-01,539612.9056367747,448995.60829006723,90617.29734670749,175,156,1.201822235392925,518608.51392684196,292612.9056367747,0.09419891700727479
SPY_TR,close,2022-02,524685.1992473745,436742.64464840794,87942.55459896661,176,157,1.2013601274722399,491427.8438957825,277685.19924737455,0.09373680908658955
SPY_TR,close,2022-03,545408.3561712973,454160.00067088706,91248.3555004102,177,158,1.2009167592161742,529568.3568421843,298408.35617129726,0.09329344083052393
SPY_TR,close,2022-04,498538.36017402785,415298.78995007597,83239.57022395189,178,159,1.2004329707629495,443837.1501241038,251538.36017402785,0.09280965237729921
SPY_TR,close,2022-05,500663.6282505826,417236.17513022444,83427.45312035817,179,160,1.1999525882297226,447899.80338080705,253663.6282505826,0.0923292698440723
SPY_TR,close,2022-06,460378.7345019236,383830.73765409365,76547.99684782996,180,161,1.1994316487409995,374209.47215601726,213378.7345019236,0.09180833035534919
SPY_TR,close,2022-07,503773.81995907886,420176.7163112817,83597.10364779714,181,162,1.198957011187325,453950.5362703606,256773.81995907886,0.09133369280167458
SPY_TR,close,2022-08,484218.7991902394,404032.63142996986,80186.16776026954,182,163,1.1984645831116936,418251.43062020926,237218.7991902394,0.09084126472604326
