n,mean_pct,std_pct,median_pct,win_rate,mean_R,t,p,breakeven_bps,mean_risk_pct,trades_per_yr,symbol,n_min,entry_rule,stop,target,direction_mode,window,bonf_bar_per_symbol,bonf_bar_total
700,0.007749445930376636,1.8186669990717526,-0.10774666280973694,0.47,0.0004757449272959415,0.11273700320500082,0.9102390639298816,0.7749445930376636,1.9442677544710878,123.57419043015949,NVDA,15,close,or,2R,short_only,full,3.577254387307179,3.9247896514051925
1387,0.09264394336023062,1.790227119673715,-0.03451621393941218,0.48954578226387885,0.04881607858577632,1.9272902798114067,0.05394346428492991,9.264394336023061,1.9433126097010078,244.85343160947318,NVDA,15,close,or,2R,long_short,full,3.577254387307179,3.9247896514051925
687,0.21816074227324497,1.8743127955480574,0.07456565505927545,0.5094614264919942,0.11887060148913511,3.0507941228777304,0.0022823701460774615,21.816074227324496,1.942339390866865,121.27924117931367,NVDA,15,close,or,3R,long_only,full,3.577254387307179,3.9247896514051925
700,0.009018885947533245,1.8384463984599733,-0.10774666280973694,0.4685714285714286,0.0003848040472932825,0.12979290198515742,0.8967302788060829,0.9018885947533245,1.9442677544710878,123.57419043015949,NVDA,15,close,or,3R,short_only,full,3.577254387307179,3.9247896514051925
1387,0.11260969726387349,1.858574099589978,-0.0380004836425238,0.48882480173035325,0.05907243407075783,2.2564937802668212,0.02403972439175872,11.260969726387348,1.9433126097010078,244.85343160947318,NVDA,15,close,or,3R,long_short,full,3.577254387307179,3.9247896514051925
687,0.21685676841964724,1.9012234075593268,0.07398198097198863,0.5080058224163028,0.11949668968358011,2.989635195301738,0.0027931081156342685,21.685676841964725,1.942339390866865,121.27924117931367,NVDA,15,close,or,eod,long_only,full,3.577254387307179,3.9247896514051925
700,0.0061261530255116775,1.8488577761156686,-0.10774666280973694,0.4685714285714286,-0.005042154040373562,0.08766643712899529,0.9301417961749618,0.6126153025511677,1.9442677544710878,123.57419043015949,NVDA,15,close,or,eod,short_only,full,3.577254387307179,3.9247896514051925
1387,0.1105038983577187,1.877262251318211,-0.03802264054715563,0.48810382119682766,0.05664363228865037,2.192254057655369,0.02836116709191394,11.05038983577187,1.9433126097010078,244.85343160947318,NVDA,15,close,or,eod,long_short,full,3.577254387307179,3.9247896514051925
679,0.03243909034945586,0.5331033317895885,0.2600908010186269,0.524300441826215,0.08071161583768856,1.5855945984650888,0.1128313023429881,3.2439090349455855,0.5051467151678878,119.86696471725472,NVDA,15,touch,atr10,1R,long_only,full,3.577254387307179,3.9247896514051925
712,-0.012791395258478134,0.5829601417480991,-0.24441379762421472,0.4845505617977528,-0.02592341423633859,-0.5854894227873862,0.5582186766512458,-1.2791395258478133,0.5312356000490749,125.69260512324794,NVDA,15,touch,atr10,1R,short_only,full,3.577254387307179,3.9247896514051925
1391,0.009287324890901573,0.5594357988538609,0.21710055719245278,0.5039539899352984,0.02612919929368616,0.619161508285534,0.535809966437478,0.9287324890901573,0.5185006231732116,245.55956984050266,NVDA,15,touch,atr10,1R,long_short,full,3.577254387307179,3.9247896514051925
