label,n,mean_pct,median_pct,t_naive,p_naive,t_nw,p_nw,n_eff,hit_rate,quad,horizon_m,spec,archetype,preferred
VTV,43,15.722686503015781,16.01690728151779,5.821445530697637,5.834082106304095e-09,6.709967593761429,1.9466650513777495e-11,57.12781642238792,0.9302325581395349,Q3,12,lagged,-,False
SPLV,30,10.456185131134411,10.131378084326881,8.174703480200751,4.440892098500626e-16,3.561236406682433,0.00036911255148042166,5.693493730568464,0.9333333333333333,Q3,12,lagged,-,False
USMV,30,10.950159595060715,9.45606915617816,9.873871091516722,0.0,4.517312942847111,6.262931199874089e-06,6.279234534551316,1.0,Q3,12,lagged,-,False
IWO,73,11.177123127986965,10.868969889438084,7.369815336566483,1.709743457922741e-13,4.255559150290548,2.0852722512954003e-05,24.34013097729034,0.7808219178082192,Q4,12,lagged,D,False
XBI,70,10.744789643503738,10.31356075034483,4.657638003873724,3.1985800283962362e-06,2.2674912515165984,0.023360232731506336,16.590436661204514,0.6428571428571429,Q4,12,lagged,-,False
ARKK,62,30.914152474094575,23.750216555302938,8.458262915130435,0.0,4.540388609359511,5.615063815245236e-06,17.865508394959274,0.8870967741935484,Q4,12,lagged,-,False
QQQ,73,22.69835678126962,23.73874357224537,14.615818062006632,0.0,6.991932707595887,2.7111646261346323e-12,16.70594638656455,0.9726027397260274,Q4,12,lagged,C,False
IWF,73,20.268787071537147,20.2551332507382,14.63250920145964,0.0,6.8516855260713445,7.298606163885779e-12,16.00589973192963,0.958904109589041,Q4,12,lagged,-,False
SPY,73,15.049098669485506,15.86080007909767,13.114138736595226,0.0,6.861835686603078,6.7981176243847585e-12,19.985910624236595,0.9178082191780822,Q4,12,lagged,B,False
IWD,73,9.312090523458304,10.830823466218398,7.829975302226442,4.884981308350689e-15,4.520556305646368,6.1677337324095305e-06,24.332450113948326,0.8493150684931506,Q4,12,lagged,A,True
VTV,73,10.510124668077852,11.048799798787346,8.76259999534925,0.0,4.99632775789117,5.843231680735528e-07,23.73333266116833,0.863013698630137,Q4,12,lagged,-,False
SPLV,62,10.421894310872174,11.119148405111702,9.23395378007315,0.0,4.470594040254925,7.800263597701473e-06,14.532715322898435,0.8387096774193549,Q4,12,lagged,-,False
USMV,62,12.924574204612052,13.749807994789665,13.821600445949905,0.0,7.666793083627309,1.7763568394002505e-14,19.076667307521568,0.9838709677419355,Q4,12,lagged,-,False
