n_is,mean_pct_is,std_pct_is,median_pct_is,win_rate_is,mean_R_is,t_is,p_is,breakeven_bps_is,mean_risk_pct_is,trades_per_yr_is,symbol,n_min,entry_rule,stop,target,direction_mode,window_is,n_oos,mean_pct_oos,std_pct_oos,median_pct_oos,win_rate_oos,mean_R_oos,t_oos,p_oos,breakeven_bps_oos,mean_risk_pct_oos,trades_per_yr_oos,window_oos
428,0.04493092095535852,0.8995762286737798,-0.3526235014705315,0.3107476635514019,0.1289081059023925,1.0333066736694265,0.3014604051269343,4.493092095535852,0.46685694980404646,75.55679072015467,NVDA,5,touch,atr10,3R,short_only,is_2021_2024M05,284,0.07829641442901046,0.9073005095184593,-0.309320318340702,0.323943661971831,0.23842405548984977,1.45428622107063,0.14586696899984997,7.829641442901046,0.5453697649339936,50.13581440309328,oos_2024M06_2026M09
844,0.013844136893252498,0.872060890512076,-0.35425612970349635,0.30450236966824645,0.07561601652407704,0.46120106161099483,0.6446543601115298,1.3844136893252499,0.46991068174985745,148.99516674722088,NVDA,5,touch,atr10,3R,long_short,is_2021_2024M05,563,0.012518813887466859,0.8952784790188812,-0.317556138668813,0.29307282415630553,0.08676126629816033,0.3317869006079043,0.7400501763280591,1.251881388746686,0.5903964187406083,99.3889560173997,oos_2024M06_2026M09
416,0.1579439705163172,1.6020174187923655,-0.3919279088921473,0.2091346153846154,0.4889859395582024,2.0108629987909166,0.04433992958442934,15.79439705163172,0.47305250211718225,73.43837602706621,NVDA,5,touch,atr10,eod,long_only,is_2021_2024M05,279,-0.06567331909492011,1.1140215646763416,-0.3415585823466964,0.17921146953405018,-0.09089052968311945,-0.984685334394836,0.3247786586698096,-6.567331909492011,0.6362300018269114,49.25314161430643,oos_2024M06_2026M09
428,0.10214300238437753,1.400536015113077,-0.3924747532822467,0.2102803738317757,0.2697315077316995,1.5088157975362209,0.13134586251731029,10.214300238437753,0.46685694980404646,75.55679072015467,NVDA,5,touch,atr10,eod,short_only,is_2021_2024M05,284,0.1345233139353623,1.4633499435859065,-0.3292041439219825,0.21830985915492956,0.38553267515206646,1.5492037241970096,0.12133275450233683,13.452331393536229,0.5453697649339936,50.13581440309328,oos_2024M06_2026M09
844,0.12964679710343782,1.5025872000253915,-0.39242225773042827,0.20971563981042654,0.3778000428499758,2.506647877162042,0.012188206311661842,12.964679710343782,0.46991068174985745,148.99516674722088,NVDA,5,touch,atr10,eod,long_short,is_2021_2024M05,563,0.035313970035808495,1.3047034480858568,-0.3340622777429546,0.1989342806394316,0.1494366287062106,0.6422275494824364,0.5207254478243484,3.5313970035808495,0.5903964187406083,99.3889560173997,oos_2024M06_2026M09
423,0.020001435316136202,1.2912341246104335,0.3017384564278579,0.5153664302600472,0.021254580905246363,0.31858575317871923,0.7500406582569661,2.0001435316136202,1.2586583894132557,74.6741179313678,NVDA,5,touch,or,1R,long_only,is_2021_2024M05,279,0.052319395746889916,1.1532966287348223,0.16045765313240531,0.5089605734767025,0.03047101702093318,0.7577462550390758,0.4486029024918954,5.231939574688991,1.1244749557608695,49.25314161430643,oos_2024M06_2026M09
435,-0.025680650702075026,1.32436750222117,0.12458984037697567,0.5011494252873563,0.02190824881697808,-0.40442885784555477,0.6858973829387327,-2.5680650702075027,1.2708287709832888,76.79253262445626,NVDA,5,touch,or,1R,short_only,is_2021_2024M05,284,0.14191889365968624,1.16503671387553,0.608824712725572,0.5528169014084507,0.10844761361086581,2.0528620933190007,0.04008595432159279,14.191889365968624,1.1240123374147628,50.13581440309328,oos_2024M06_2026M09
858,-0.0031590628399499267,1.3075742184396815,0.2309889017941283,0.5081585081585082,0.02158598596539007,-0.07076777804531378,0.9435825769004693,-0.31590628399499265,1.2648286877616992,151.46665055582406,NVDA,5,touch,or,1R,long_short,is_2021_2024M05,563,0.09751701103505005,1.1590696289938844,0.49472789965518,0.5310834813499112,0.06980557018530416,1.996296533413617,0.04590165516543587,9.751701103505004,1.1242415923322828,99.3889560173997,oos_2024M06_2026M09
423,0.13887734083847364,1.6697123306784856,-0.6886319963056872,0.4373522458628842,0.13003796267707998,1.7106451149412,0.08714664529446026,13.887734083847365,1.2586583894132557,74.6741179313678,NVDA,5,touch,or,2R,long_only,is_2021_2024M05,279,0.023239283548398257,1.4142140687930893,-0.5359470812611721,0.4157706093189964,-0.015151688941199106,0.2744793541805829,0.7837162675667282,2.3239283548398255,1.1244749557608695,49.25314161430643,oos_2024M06_2026M09
435,-0.02287225721661795,1.6743730346069825,-0.7254919742450324,0.3931034482758621,0.04447831967845995,-0.2849058939027489,0.7757162403641751,-2.287225721661795,1.2708287709832888,76.79253262445626,NVDA,5,touch,or,2R,short_only,is_2021_2024M05,284,0.17490758841326126,1.5324553041586872,-0.48568845632735147,0.44014084507042256,0.15553344620889614,1.9234460312620147,0.0544240581096509,17.490758841326127,1.1240123374147628,50.13581440309328,oos_2024M06_2026M09
858,0.05687142574061249,1.6730589155640008,-0.7077422460005338,0.4149184149184149,0.08665982199596145,0.9956954562540185,0.31939813848592746,5.687142574061249,1.2648286877616992,151.46665055582406,NVDA,5,touch,or,2R,long_short,is_2021_2024M05,563,0.09974691868449256,1.4756870069743486,-0.5149097493351421,0.4280639431616341,0.07094880552172639,1.6038340615657205,0.10875063439174548,9.974691868449256,1.1242415923322828,99.3889560173997,oos_2024M06_2026M09
423,0.14873552566791728,1.817161075210536,-0.7283126787416683,0.408983451536643,0.1418882206949839,1.683416079122515,0.09229457272412422,14.873552566791728,1.2586583894132557,74.6741179313678,NVDA,5,touch,or,3R,long_only,is_2021_2024M05,279,0.05137657378876352,1.522096856395247,-0.5623640511432979,0.4050179211469534,0.012919416220797722,0.5637998437947719,0.5728903581289584,5.137657378876352,1.1244749557608695,49.25314161430643,oos_2024M06_2026M09
