symbol,date,bucket,time,n_quotes,median_bps,mean_bps,p90_bps,p99_bps,median_abs_spread,median_mid,median_bid_size,median_ask_size
NVDA,2022-06-13,10:30-15:30,12:45:00,24,2.487716897816533,2.6432362741320183,3.10974282426914,3.7318074387363027,0.03999999999999204,160.79000000000002,3.0,1.0
AAPL,2022-06-13,10:30-15:30,14:30:00,2558,0.7496532853569721,0.7927307632971681,0.7498781448029189,1.4997000599887693,0.009999999999990905,133.39499999999998,4.0,4.0
AMD,2022-06-13,10:30-15:30,14:30:00,1667,1.133337111122673,1.41741165953658,2.2668026748267054,2.2673166307670356,0.010000000000005116,88.245,3.0,3.0
IWM,2022-06-13,10:30-15:30,14:30:00,2635,0.5842315894015077,0.8523493011705994,1.1683607898124915,1.1685655857440977,0.010000000000019327,171.195,5.0,5.0
NVDA,2022-06-13,10:30-15:30,14:30:00,2052,1.8919685933214228,2.1098295445008777,3.151690882157203,3.7838178722332265,0.030000000000001137,158.58499999999998,1.0,1.0
QQQ,2022-06-13,10:30-15:30,14:30:00,1088,0.3598740440842431,0.5404032995042376,0.7197092374674083,1.0795444322506544,0.010000000000047748,277.905,2.0,2.0
AAPL,2022-06-13,15:30-16:00,15:35:00,4651,0.7561150807145972,0.8517101029474597,1.5119443604461604,1.5129737499040632,0.009999999999990905,132.265,4.0,3.0
AMD,2022-06-13,15:30-16:00,15:35:00,4437,1.1493592322286208,1.4549318126964388,2.298322224775456,2.2993791676242843,0.010000000000005116,87.025,3.0,3.0
IWM,2022-06-13,15:30-16:00,15:35:00,912,0.5885641976393222,0.7633657266690548,1.17702448210983,1.1773016246751713,0.010000000000019327,169.92000000000002,4.0,3.0
AAPL,2022-06-13,15:30-16:00,15:50:00,7123,0.7589268773968297,1.1680983550594626,1.518026565463515,4.380621355239733,0.010000000000019327,131.81,2.0,2.0
AMD,2022-06-13,15:30-16:00,15:50:00,2857,2.300437083045321,2.1723636468117515,3.4520453368622217,6.8976934337859,0.01999999999999602,86.92500000000001,2.0,2.0
AAPL,2022-06-13,15:30-16:00,15:58:00,5260,0.7574896792045849,0.7567885606845374,0.7578341101147609,1.5152663080544155,0.009999999999990905,132.015,6.0,7.0
AMD,2022-06-13,15:30-16:00,15:58:00,3867,1.1486990982717953,1.3405303045558137,2.2972662531582837,2.2980581408721394,0.010000000000005116,87.055,4.0,5.0
IWM,2022-06-13,15:30-16:00,15:58:00,824,0.5883564263225314,0.6175938497356448,0.588391044689437,1.1767474699935416,0.009999999999990905,169.965,5.0,6.0
AAPL,2022-09-13,09:30-09:45,09:30:05,6388,1.2492192379769036,1.3270670202208599,2.500468837908387,3.751875937969127,0.01999999999998181,160.08499999999998,3.0,3.0
AMD,2022-09-13,09:30-09:45,09:30:05,3612,2.481697481076563,2.940187303284558,4.957243772461525,6.199159155382871,0.020000000000010232,80.635,2.0,1.0
AAPL,2022-09-13,09:30-09:45,09:33:00,6615,0.6264682850425,0.7994393108991703,1.2528188423960307,1.253604111822128,0.010000000000019327,159.70499999999998,3.0,4.0
AMD,2022-09-13,09:30-09:45,09:33:00,3313,2.469440671687371,2.7444620326973586,3.705762460626414,4.940101272075095,0.020000000000010232,81.075,2.0,3.0
IWM,2022-09-13,09:30-09:45,09:33:00,69,1.076368333242657,1.0452641373639058,1.6148566814695808,1.6148566814695808,0.01999999999998181,185.79500000000002,1.0,2.0
AAPL,2022-09-13,09:30-09:45,09:40:00,7180,0.6279632013558293,0.8958258462662764,1.2558869701715423,1.882613998214119,0.010000000000019327,159.29500000000002,3.0,3.0
AMD,2022-09-13,09:30-09:45,09:40:00,2820,1.2433944668952581,1.6942329762804735,2.486634340419746,2.488800398209337,0.010000000000005116,80.46000000000001,5.0,3.0
AAPL,2022-09-13,09:45-10:30,09:50:00,7894,0.6269002915098473,0.7967729120335012,1.2535255405835306,1.254390366280846,0.010000000000019327,159.59,3.0,3.0
AMD,2022-09-13,09:45-10:30,09:50:00,2106,1.248361525498423,1.5606032163626478,2.497190660506433,2.4987506246871596,0.010000000000005116,80.10499999999999,3.0,2.0
AAPL,2022-09-13,09:45-10:30,10:10:00,7013,0.6331317863807595,0.7026483525314434,1.2661433274253124,1.2669453946541387,0.009999999999990905,157.95499999999998,3.0,4.0
AMD,2022-09-13,09:45-10:30,10:10:00,2984,1.2535255405835306,1.6872052561573572,2.5072082236424746,2.5078369905968945,0.010000000000005116,79.81,3.0,6.0
AAPL,2022-09-13,10:30-15:30,11:15:00,4016,0.6381824563636942,0.6577204595893489,0.6383046628149813,1.2764871074808675,0.009999999999990905,156.7,5.0,4.0
AMD,2022-09-13,10:30-15:30,11:15:00,2642,1.2752662118223703,1.475931904303348,2.55036980362283,2.550695064404543,0.010000000000005116,78.42500000000001,6.0,4.0
IWM,2022-09-13,10:30-15:30,11:15:00,3342,0.544795837759304,0.6539550514118408,1.0895026420444645,1.0897400969858775,0.009999999999990905,183.57,5.0,4.0
AAPL,2022-09-13,10:30-15:30,12:45:00,2553,0.6389572218134184,0.6302132041324262,0.6390388855174187,1.277955271564333,0.009999999999990905,156.505,5.0,6.0
AMD,2022-09-13,10:30-15:30,12:45:00,1217,1.2768945923502402,1.2726547501790972,1.2770576591539642,2.5539522410925835,0.009999999999990905,78.315,10.0,6.0
IWM,2022-09-13,10:30-15:30,12:45:00,3052,0.5442917403723448,0.5858492283126769,0.5444399074462679,1.088760669980195,0.009999999999990905,183.735,5.0,5.0
NVDA,2022-09-13,10:30-15:30,12:45:00,1289,1.4893141708250972,1.364542816011936,2.233888082207166,2.2342208154906826,0.020000000000010232,134.29000000000002,2.0,1.0
QQQ,2022-09-13,10:30-15:30,12:45:00,1889,0.670983326063737,0.7317175644519166,1.006458106180415,1.0065931853651269,0.01999999999998181,298.075,4.0,4.0
AAPL,2022-09-13,10:30-15:30,14:30:00,2790,0.6450572488302471,0.6371567427778554,0.6451404793387894,1.2902393393981182,0.009999999999990905,155.025,4.0,6.0
AMD,2022-09-13,10:30-15:30,14:30:00,1412,1.2793449753732637,1.3790225131479077,2.5585262888589266,2.5588536335716507,0.010000000000005116,78.16499999999999,8.0,4.0
IWM,2022-09-13,10:30-15:30,14:30:00,2320,0.5456579270465898,0.5440120101585396,0.5457174820590415,1.0914051841736323,0.009999999999990905,183.265,4.0,6.0
NVDA,2022-09-13,10:30-15:30,14:30:00,1510,1.4895360095337926,1.1795278819622323,1.490090895543273,2.2348865795061745,0.01999999999998181,134.245,2.0,1.5
QQQ,2022-09-13,10:30-15:30,14:30:00,1968,0.6734687005434439,0.5881182358184971,0.6736047960674499,1.010333353006631,0.01999999999998181,296.96000000000004,9.0,2.0
AAPL,2022-09-13,15:30-16:00,15:35:00,8563,0.6508086297218382,0.6743533734471838,0.6514870191205515,1.3028467200840488,0.009999999999990905,153.66,6.0,5.0
AMD,2022-09-13,15:30-16:00,15:35:00,1437,1.2967645723925456,1.3590528347721034,1.2971009793100596,2.5940337224378758,0.010000000000005116,77.11500000000001,8.0,8.0
