ma,vwap,fill,stop,target,is_n,is_mean_pct,is_win,is_avg_R,is_t,oos_n,oos_mean_pct,oos_win,oos_avg_R,oos_t
sma,premkt,nextopen,c20,3R,1059,-0.11785161226469028,0.279508970727101,-0.0417601510859301,-0.7145995705323288,853,-0.2493086888362318,0.2719812426729191,-0.08365474794841733,-1.368190804950656
sma,premkt,nextopen,pullback,2R,1010,-0.11810275737873849,0.35247524752475246,0.02662921841479488,-0.45489192157208663,821,0.19497371733640273,0.3568818514007308,-0.0024607965944205474,0.5825190656841256
sma,rth,nextopen,atr,3R,1051,-0.1182719473195098,0.2721217887725975,-0.029699671844838158,-0.5013325367557815,934,0.023008818496954818,0.29229122055674517,-0.012360078711255645,0.08188357267992437
ema,premkt,trigger,atr,eod,1010,-0.1228858268882655,0.22376237623762377,0.02005215264989107,-0.2707538458080085,806,0.9260599508610887,0.24813895781637718,0.12699109269287437,1.0237815041206122
sma,premkt,trigger,pullback,2R,1019,-0.12384861986592414,0.3601570166830226,0.04445187780545631,-0.5221858747650732,812,-0.21875280662104551,0.3275862068965517,-0.018473053203574046,-0.718980960361584
ema,premkt,trigger,pullback,1R,1087,-0.12394043243997967,0.5188592456301748,0.04587285257292872,-0.709142058501067,836,-0.370648884813357,0.46411483253588515,-0.019090679526228845,-1.679166756875945
ema,premkt,nextopen,pullback,2R,1083,-0.12819081237420574,0.3545706371191136,0.031025442019651732,-0.5131421440946127,841,0.11898130328801125,0.356718192627824,-0.004222090600855426,0.35932781507102257
ema,rth,trigger,c20,trail,1109,-0.1323527198417103,0.3859332732191163,-0.05776600541027902,-1.0481289262151827,943,-0.17204865428848776,0.383881230116649,0.07992948038176005,-1.2405821494881482
ema,premkt,trigger,pullback,2R,1087,-0.1337530818031085,0.3624655013799448,0.055507782908348555,-0.5802090495482681,836,-0.20613111344876225,0.33373205741626794,-0.0014113134394649837,-0.6839871989789499
sma,premkt,nextopen,pullback,1R,1010,-0.13748206630808643,0.48415841584158414,-0.017121231382051825,-0.7073539730989611,821,-0.1958300899686396,0.48112058465286234,-0.039295892287234034,-0.8154964873010724
sma,rth,trigger,c20,1R,1040,-0.13843868744157067,0.4778846153846154,-0.05934278846153875,-1.1782498299945492,905,-0.0019180583277281754,0.4861878453038674,0.030043646408839476,-0.014080241998042253
sma,premkt,trigger,c20,2R,1019,-0.13914644282359848,0.352306182531894,-0.032318449460255506,-0.9462433960834709,812,-0.20136121576918287,0.33866995073891626,-0.07708004926108386,-1.1952540272856875
sma,rth,trigger,c20,2R,1040,-0.14021378296877152,0.35384615384615387,-0.051551442307692576,-0.92608589382255,905,-0.2057012127031234,0.3447513812154696,0.002686187845303621,-1.2181332285309658
ema,rth,nextopen,pullback,1R,1096,-0.1410785583100163,0.4863138686131387,-0.01731708105955545,-0.7477006875531976,948,-0.14636518965859746,0.4767932489451477,-0.04430926057226882,-0.6208230818148526
ema,premkt,trigger,c20,2R,1087,-0.14297568591370546,0.34498620055197793,-0.055467801287948856,-1.0084408573474226,836,-0.1732601870140588,0.3492822966507177,-0.047270933014354005,-1.0339611956280421
ema,rth,trigger,atr,1R,1033,-0.14425176181771002,0.4937076476282672,-0.00753740305385829,-0.9724327564802171,910,-0.21327931998886782,0.47802197802197804,-0.03725884033177414,-1.185060023703716
ema,rth,trigger,pullback,eod,1109,-0.15071173484531045,0.2515779981965735,0.04394194354873054,-0.3675397245340494,943,0.8073020619451036,0.23753976670201485,0.06824840520292166,0.9428333962517438
ema,premkt,trigger,c20,trail,1087,-0.15413765001011737,0.37902483900643974,-0.058472861085556,-1.3966210129218173,836,-0.21305302196712228,0.3827751196172249,-0.00656578947368289,-1.6025924723101703
ema,premkt,trigger,atr,trail,1010,-0.15971493566618822,0.402970297029703,-0.004090482696735901,-0.9097415855530464,806,-0.06477067325896307,0.34739454094292804,-0.028025296930342454,-0.2916721525565585
sma,rth,nextopen,pullback,2R,1021,-0.1610259264933452,0.3486777668952008,0.01165245725474699,-0.6064447827321261,913,0.11965521868896438,0.3559693318729463,0.004258679530564956,0.35446282296960546
sma,premkt,trigger,c20,trail,1019,-0.16220496638290016,0.380765456329735,-0.05129244357212884,-1.4067445659039417,812,-0.19640424834210204,0.3793103448275862,-0.027833743842363586,-1.4762821024497979
sma,rth,trigger,c20,trail,1040,-0.1679775153841582,0.38076923076923075,-0.06257596153846096,-1.269302010779554,905,-0.0910293784155841,0.3911602209944751,0.10379337016574554,-0.6339496228793388
sma,premkt,trigger,atr,1R,989,-0.1681956645795894,0.49848331648129424,-0.0020809418442002806,-1.0580927401840277,799,-0.38416586781998685,0.4655819774718398,-0.06537268890440766,-1.9523167115528655
sma,rth,trigger,atr,1R,1011,-0.17031684447744516,0.49258160237388726,-0.009863095294428973,-1.1365176927117848,890,-0.16471734813499697,0.4820224719101124,-0.029151465213791035,-0.9035338344871608
sma,rth,trigger,pullback,eod,1040,-0.1720478672628196,0.24807692307692308,0.04372568341212717,-0.39640902775789894,905,0.10169974687362941,0.23646408839779007,-0.015361734606579656,0.17989937260537012
ema,rth,nextopen,atr,2R,1072,-0.1737223719958316,0.3292910447761194,-0.04022180153034282,-0.8862232467121556,953,-0.16353070644944,0.3305351521511018,-0.05338566105451223,-0.6975047104917663
ema,premkt,trigger,atr,1R,1010,-0.1747192671056314,0.498019801980198,-0.002869459238157962,-1.1246662009174018,806,-0.34964351426159346,0.4652605459057072,-0.06612123334782448,-1.8084594988627283
sma,premkt,trigger,pullback,trail,1019,-0.18340915616069595,0.38665358194308147,0.005312072730974957,-0.9548536577515137,812,-0.2569225118286138,0.3485221674876847,-0.024943295052935487,-1.161777959837498
