symbol,signal_ts,entry_ts,exit_ts,direction,entry_px,exit_px,stop_px,target_px,risk_per_share,r,ret_pct,bars_held,reason
META,2021-01-21 11:00:00,2021-01-21 11:05:00,2021-01-21 12:30:00,1,272.76250000000005,271.285,271.285,275.7175000000001,1.4775000000000205,-1.0,-0.5416800329957455,17,stop
IWM,2021-01-21 10:45:00,2021-01-21 11:05:00,2021-01-21 12:10:00,1,212.8645,212.31,212.31,213.97349999999997,0.5544999999999902,-1.0,-0.2604943520408477,13,stop
AAPL,2021-01-21 10:50:00,2021-01-21 11:20:00,2021-01-21 11:30:00,1,135.875,136.265,135.68,136.265,0.19499999999999318,2.0,0.2870285188592356,2,target
MSFT,2021-01-21 11:25:00,2021-01-21 11:30:00,2021-01-21 15:55:00,1,224.62,224.9,222.42,229.02000000000004,2.200000000000017,0.12727272727272682,0.12465497284302428,53,flatten
NVDA,2021-01-21 11:20:00,2021-01-21 11:35:00,2021-01-21 12:10:00,1,543.415,541.61,541.61,547.0249999999999,1.80499999999995,-1.0,-0.33215866326839527,7,stop
QQQ,2021-01-21 11:35:00,2021-01-21 11:45:00,2021-01-21 12:15:00,-1,325.83910000000003,324.7773000000001,326.37,324.7773000000001,0.5308999999999742,2.0,0.3258663555110324,6,target
AMD,2021-01-21 11:40:00,2021-01-21 11:50:00,2021-01-21 13:10:00,-1,89.82995,90.4767,90.4767,88.53645,0.6467499999999973,-1.0,-0.7199714571810374,16,stop
AAPL,2021-01-22 10:40:00,2021-01-22 10:50:00,2021-01-22 12:10:00,-1,136.34,137.66,137.66,133.70000000000002,1.3199999999999932,-1.0,-0.9681678157547258,16,stop
NVDA,2021-01-22 10:50:00,2021-01-22 10:55:00,2021-01-22 13:20:00,-1,548.46,551.51,551.51,542.3600000000001,3.0499999999999545,-1.0,-0.5561025416621002,29,stop
GOOGL,2021-01-22 10:50:00,2021-01-22 11:00:00,2021-01-22 11:10:00,-1,1895.9149499999999,1903.47,1903.47,1880.8048499999995,7.555050000000165,-1.0,-0.3984909766126464,2,stop
MSFT,2021-01-22 10:55:00,2021-01-22 11:10:00,2021-01-22 11:25:00,1,229.36,228.915,228.915,230.25000000000006,0.4450000000000216,-1.0,-0.19401813742589014,3,stop
AMZN,2021-01-22 11:15:00,2021-01-22 11:20:00,2021-01-22 13:05:00,1,3301.19875,3293.015,3293.015,3317.5662500000003,8.183750000000146,-1.0,-0.2479023718278139,21,stop
META,2021-01-22 11:15:00,2021-01-22 11:20:00,2021-01-22 11:30:00,1,276.40999999999997,275.75,275.75,277.7299999999999,0.6599999999999682,-1.0,-0.2387757317028936,2,stop
QQQ,2021-01-22 11:00:00,2021-01-22 11:30:00,2021-01-22 14:55:00,1,325.17499999999995,326.1049999999999,324.71,326.1049999999999,0.464999999999975,2.0,0.28599984623662644,41,target
AMD,2021-01-22 11:35:00,2021-01-22 11:40:00,2021-01-22 13:55:00,-1,93.37545,92.56635,93.78,92.56635,0.4045500000000004,2.0,0.8665018481838651,27,target
MSFT,2021-01-25 10:30:00,2021-01-25 10:35:00,2021-01-25 10:50:00,1,228.5075,226.91,226.91,231.7025,1.5974999999999966,-1.0,-0.6991017800291004,3,stop
IWM,2021-01-25 10:30:00,2021-01-25 10:45:00,2021-01-25 11:00:00,1,217.035,214.25,214.25,222.605,2.7849999999999966,-1.0,-1.2832031699956215,3,stop
NVDA,2021-01-26 10:35:00,2021-01-26 10:40:00,2021-01-26 11:25:00,1,542.3856499999999,539.7,539.7,547.7569499999997,2.685649999999896,-1.0,-0.4951550617166764,9,stop
AMD,2021-01-26 10:35:00,2021-01-26 10:40:00,2021-01-26 10:40:00,1,95.00575,95.25725000000003,94.88,95.25725000000003,0.1257500000000107,2.0,0.2647208195293667,0,target
MSFT,2021-01-26 10:50:00,2021-01-26 10:55:00,2021-01-26 15:55:00,1,233.58999999999997,232.5831,230.08,240.6099999999999,3.5099999999999625,-0.2868660968660923,-0.43105441157582663,60,flatten
SPY,2021-01-26 10:55:00,2021-01-26 11:00:00,2021-01-26 15:55:00,-1,384.67499999999995,383.83,385.31,383.40499999999986,0.6350000000000477,1.3307086614171761,0.21966595177746684,59,flatten
