start,end,plain_terminal,ovl_terminal,plain_irr,ovl_irr,plain_dd,ovl_dd,ratio,beat,n_triggers,months_saving
1987-04-30,2017-03-31,1760395.0894253058,1787666.9101341332,0.09176199737684732,0.09256500724925876,-0.49713448388310655,-0.46776508540674233,1.015491875018653,True,1,133
1987-05-31,2017-04-30,1763688.8919588549,1791238.373612757,0.09185969121004423,0.09266918996010376,-0.49700826000165055,-0.4673279687474555,1.015620374874224,True,1,133
1987-06-30,2017-05-31,1773585.361007761,1801518.8049882888,0.09215204113893583,0.09296783559337962,-0.4968808023595547,-0.4668862639883028,1.015749703732701,True,1,133
1987-07-31,2017-06-30,1770403.641063603,1798507.8723640158,0.09205824255368489,0.09288055857915434,-0.49675703174766717,-0.46645703285569473,1.0158744766721834,True,1,133
1987-08-31,2017-07-31,1792949.0716960612,1821627.3181788253,0.0927190133415079,0.09354672098115291,-0.4966368076668507,-0.4660398140548979,1.0159950145464174,True,1,133
1987-09-30,2017-08-31,1785095.9181419895,1813858.326097244,0.09248987035869516,0.09332388531391689,-0.49651889504888824,-0.46563034192910546,1.0161125279952417,True,1,133
1987-10-31,2017-09-30,1808119.7495659706,1837474.5502751498,0.09315862721970292,0.09399811102134481,-0.4963959973899409,-0.46520326835154135,1.0162349870445393,True,1,133
1987-11-30,2017-10-31,1831753.7552698846,1861788.8791204784,0.09383564521904297,0.09468260514086424,-0.4962356024455392,-0.4646454446233247,1.0163969222195854,True,1,133
1987-12-31,2017-11-30,1867162.3808131155,1898116.3788573674,0.09483258366996217,0.09568760885182881,-0.49605643822703005,-0.464021747208225,1.0165780964539206,True,1,133
1988-01-31,2017-12-31,1868398.3246206662,1899693.3469860922,0.09486701423903354,0.09573076720979912,-0.49588550068589554,-0.46342609932756473,1.0167496523375334,True,1,134
1988-02-29,2018-01-31,1955500.2226392543,1988568.7423686956,0.09723384070362018,0.09810296385647832,-0.495717338034837,-0.4628395589889267,1.0169105169851682,True,1,135
1988-03-31,2018-02-28,1865179.147508677,1897043.1429906178,0.09477728414797748,0.09565821460070789,-0.4955526719432366,-0.462264673685591,1.0170836112576647,True,1,136
1988-04-30,2018-03-31,1799335.1635357626,1830402.5750374119,0.09290455468109604,0.09379719319898894,-0.49537872739142375,-0.4616568132894783,1.0172660503341693,True,1,137
1988-05-31,2018-04-30,1788080.6999678744,1819260.3394911657,0.0925770893313016,0.09347893807584717,-0.495202251231029,-0.4610394941096573,1.0174374901109617,True,1,137
1988-06-30,2018-05-31,1812628.5324763367,1844530.8406980915,0.09328851741944044,0.09419775655112361,-0.4950228318102371,-0.4604112465232356,1.0176000254051896,True,1,137
1988-07-31,2018-06-30,1805986.369093138,1838074.4420952527,0.0930970467392096,0.09401511594426548,-0.4948470292707392,-0.45979504386638603,1.0177676163847391,True,1,137
1988-08-31,2018-07-31,1854678.6027968137,1887919.8262068506,0.09448343574080442,0.09540761837941125,-0.49466628003015056,-0.4591608620180617,1.0179229023076612,True,1,137
1988-09-30,2018-08-31,1895260.811800681,1929548.6636026774,0.0956093598991441,0.09654067286633072,-0.49447446241631043,-0.45848713390896645,1.0180913632511714,True,1,138
1988-10-31,2018-09-30,1886863.1271887464,1921333.9217786551,0.09537850938212022,0.0963191730241586,-0.49428581095581614,-0.4578238107049971,1.0182688368293398,True,1,139
1988-11-30,2018-10-31,1740594.949453221,1772807.571360898,0.09117054427938442,0.09212912828570552,-0.4940976259531529,-0.45716141937904653,1.0185066732026289,True,1,140
1988-12-31,2018-11-30,1758193.0059619967,1791022.9993670955,0.09169657389240315,0.09266291364343049,-0.49390185556387833,-0.4564715763560656,1.0186725764997204,True,1,140
1989-01-31,2018-12-31,1583402.6448857132,1613420.2543522033,0.08620029905643811,0.08718954598257977,-0.49370461210406846,-0.45577576587177493,1.018957660304184,True,1,140
1989-02-28,2019-01-31,1694307.3757559762,1726586.9718319385,0.08975908597912885,0.0907477113066264,-0.49351632987260796,-0.4551108391364911,1.019051794578631,True,1,140
