label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,symbol,period
PEP|full,intraday,9239,7.957838555624937,20.053753160174843,19.81123817972842,19.872804505334592,1.0091053406574635,6.110105623665737,9.95652227331334e-10,0.5105530901612728,1990-01-03,2026-09-10,PEP,full
PEP|full,total,9239,4.794879675137248,12.083096781345864,9.948457906334236,22.823533980742777,0.5294139282523429,3.2055870580905377,0.0013478726645970163,0.4971317242125771,1990-01-03,2026-09-10,PEP,full
PFE|full,overnight,9239,4.564513015273288,11.502572798488687,10.950765306634532,14.85109454638985,0.7745269389106977,4.6897397273068915,2.7355277825158453e-06,0.53999350579067,1990-01-03,2026-09-10,PFE,full
PFE|full,intraday,9239,0.7072498226957304,1.7822695531932407,-0.8634205061936872,23.024075578205487,0.07740895164887017,0.46870911463383147,0.6392775710341785,0.48555038424071867,1990-01-03,2026-09-10,PFE,full
PFE|full,total,9239,5.166400584597448,13.01932947318557,9.992793647198264,26.435716345593264,0.4924901335369277,2.982014476866514,0.002863584575506284,0.49117869899339756,1990-01-03,2026-09-10,PFE,full
PG|full,overnight,9239,-2.8913112353034593,-7.286104312964717,-7.745694267546044,12.044675036356956,-0.604923278624915,-3.6627941382257023,0.0002494790281697412,0.4831691741530469,1990-01-03,2026-09-10,PG,full
PG|full,intraday,9239,7.886765097539465,19.87464804579945,19.877156242366244,18.656850446033012,1.06527348242883,6.4502022073231755,1.1170087077516655e-10,0.5207273514449616,1990-01-03,2026-09-10,PG,full
PG|full,total,9239,4.942897052991381,12.456100573538283,10.59183822320404,21.698556047117055,0.5740520496613065,3.4758696794005015,0.0005091996597044179,0.5088213010066025,1990-01-03,2026-09-10,PG,full
QQQ|full,overnight,6918,5.558129995031362,14.006487587479032,13.86210686152605,14.277138152151764,0.9810430800775057,5.140177156220852,2.7447955464054985e-07,0.559410234171726,1999-03-11,2026-09-10,QQQ,full
QQQ|full,intraday,6918,-0.0514395001566402,-0.12962754039473331,-2.738333722686293,23.03650777943381,-0.005627048232999113,-0.02948293033363006,0.9764794326443895,0.5235617230413414,1999-03-11,2026-09-10,QQQ,full
