label,n_lag,mean_pct_lag,median_pct_lag,t_naive_lag,p_naive_lag,t_nw_lag,p_nw_lag,n_eff_lag,hit_rate_lag,quad,horizon_m,spec_lag,archetype_lag,preferred_lag,n_nolag,mean_pct_nolag,median_pct_nolag,t_naive_nolag,p_naive_nolag,t_nw_nolag,p_nw_nolag,n_eff_nolag,hit_rate_nolag,spec_nolag,archetype_nolag,preferred_nolag
SPY,49,4.234655704366449,4.140731837905265,4.577263608267569,4.7109766716513235e-06,3.3860794386009982,0.0007089885684579134,26.81504413983186,0.7551020408163265,Q3,3,lagged,B,False,49,4.904991187280482,5.341782735964418,5.07311657429259,3.91352584117044e-07,3.877721697471114,0.00010543923190131643,28.628570918674043,0.7755102040816326,nolag,B,False
IWD,49,4.5348243429424295,4.938455958731458,5.110649230424808,3.210535934883296e-07,3.9246085116916944,8.687089534209491e-05,28.895925872872652,0.8163265306122449,Q3,3,lagged,A,False,49,4.873541071334845,5.243484652120167,5.000790729494754,5.709565997769062e-07,3.891390528211372,9.967135749566758e-05,29.670738323146047,0.7551020408163265,nolag,A,False
IWO,73,3.539838838079437,4.200773671532088,3.9422739751187255,8.071270105070028e-05,3.183725677513174,0.001453927281554579,47.61025793395829,0.726027397260274,Q4,3,lagged,D,False,72,3.1243139769390154,4.02571825449095,3.561305351295147,0.00036901562601743265,2.7940812386473444,0.0052047401693000594,44.319222229891494,0.6944444444444444,nolag,D,False
QQQ,73,4.989878516931531,5.83901488947014,6.100516690577859,1.057261389547648e-09,5.084249462984498,3.6908258782553105e-07,50.70412863702763,0.821917808219178,Q4,3,lagged,C,False,72,4.922320468444371,5.824231759119758,5.7726963427781515,7.801295609510817e-09,4.606688638976074,4.091319086629852e-06,45.851419936998866,0.8055555555555556,nolag,C,False
SPY,73,3.942766425428034,4.2784410592421995,6.596979428098751,4.1961989438732417e-11,5.358633426007478,8.385379790531999e-08,48.16601295400084,0.821917808219178,Q4,3,lagged,B,False,72,3.5959830964739528,4.180312206422987,5.791396887658707,6.980340749862535e-09,4.50694867951923,6.576653215351058e-06,43.604475332457085,0.7777777777777778,nolag,B,False
IWD,73,3.1700470825480394,3.6093715268085136,5.320267688785847,1.0361468083530667e-07,4.315753472478769,1.590594174061266e-05,48.03625578917713,0.7397260273972602,Q4,3,lagged,A,True,72,2.732325387263858,3.2814538108456692,4.484446442418559,7.310346396671719e-06,3.477470049566899,0.0005061695967611968,43.295385372201316,0.7083333333333334,nolag,A,True
IWO,111,9.193160812293188,8.34160502347654,3.8724642473192143,0.00010774048418005222,1.5646840254018424,0.1176570159560113,18.121804567983073,0.6756756756756757,Q1,12,lagged,D,True,110,8.207841569605208,6.275881684609075,3.4174351917690764,0.0006321414244954138,1.362249725147763,0.17311908791518116,17.47855672554802,0.6636363636363637,nolag,D,True
QQQ,111,14.387615834647875,17.977574623269987,6.45521919121499,1.0806244787886499e-10,2.4856221890574983,0.012932518200820642,16.457778991312054,0.7837837837837838,Q1,12,lagged,C,False,110,13.562963105860119,15.604991756154774,6.014121625484514,1.8086467878930534e-09,2.308290311613351,0.020982994943451683,16.204257250333747,0.7909090909090909,nolag,C,False
SPY,111,9.755500042252088,12.869263876493143,5.532163896301287,3.1630413843686256e-08,2.1659778197918484,0.030312881891673138,17.015351013541498,0.7657657657657657,Q1,12,lagged,B,False,110,9.162814348312622,11.862675393389965,5.112211147466088,3.184096373232137e-07,1.9806475584087162,0.04763081158381022,16.511613910550885,0.7727272727272727,nolag,B,False
IWD,111,8.77484493881115,12.168024447197734,4.90029184169284,9.569439898271526e-07,2.038569656595268,0.04149299618549218,19.210125349592754,0.7387387387387387,Q1,12,lagged,A,False,110,8.243209563383903,11.58650526315742,4.524000169257807,6.06816754977757e-06,1.8738347346446635,0.060953207276934984,18.87165681757388,0.7454545454545455,nolag,A,False
