symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
QQQ,last3y,753,252,3,7.915764282395099,4.915764282395095,12.233655232647427,0.9542975438725378,1.649609024250071,0.09902292807545177
QQQ,last3y,753,252,5,7.915764282395099,2.9157642823950933,6.719004505579465,0.5660374528465383,0.9784584444072403,0.3278476345304524
QQQ,last3y,753,252,8,7.915764282395099,-0.08423571760490406,-1.0509686625685033,-0.016352683692460214,-0.02826742535700413,0.9774488610119094
QQQ,last3y,753,252,10,7.915764282395099,-2.084235717604908,-5.9152442399074046,-0.40461277471846036,-0.6994180051998357,0.48429083880298496
QQQ,last3y,753,252,20,7.915764282395099,-12.084235717604907,-26.887422486322787,-2.3459132298484566,-4.055170904413986,5.0097660265979727e-05
QQQ,pre2015,3979,252,0,5.973811946107481,5.973811946107481,14.984318974750552,1.0202331314488366,4.054022195111448,5.034443660845156e-05
QQQ,pre2015,3979,252,1,5.973811946107481,4.97381194610748,12.124221290710938,0.8494488582489381,3.3753898190533027,0.0007371120087036331
QQQ,pre2015,3979,252,2,5.973811946107481,3.9738119461074817,9.33498980068194,0.6786645850490401,2.6967574429951595,0.007001825134818063
QQQ,pre2015,3979,252,3,5.973811946107481,2.973811946107478,6.6148754376243,0.5078803118491411,2.0181250669370128,0.043578237641917816
QQQ,pre2015,3979,252,5,5.973811946107481,0.973811946107477,1.3752157749525797,0.16631176544934412,0.6608603148207229,0.5087018983493161
QQQ,pre2015,3979,252,8,5.973811946107481,-2.0261880538925197,-6.007205022878929,-0.3460410541503506,-1.3750368133537085,0.16912003194880887
QQQ,pre2015,3979,252,10,5.973811946107481,-4.026188053892525,-10.628797067475444,-0.6876096005501483,-2.7323015654700016,0.006289354475739195
QQQ,pre2015,3979,252,20,5.973811946107481,-14.026188053892527,-30.5540327925806,-2.395452332549133,-9.518625326051447,0.0
IWM,full,6610,252,0,5.32567168218502,5.32567168218502,13.360529717097666,1.0136166670509494,5.191276994644735,2.088566368740885e-07
IWM,full,6610,252,1,5.32567168218502,4.325671682185019,10.540687755792385,0.8232901265618664,4.21651225050736,2.481098148487959e-05
IWM,full,6610,252,2,5.32567168218502,3.3256716821850207,7.790717878127955,0.6329635860727839,3.2417475063699883,0.0011879922545445787
IWM,full,6610,252,3,5.32567168218502,2.3256716821850167,5.108895470712595,0.44263704558370015,2.2669827622326117,0.02339127876364433
IWM,full,6610,252,5,5.32567168218502,0.3256716821850154,-0.05699441746256462,0.06198396460553408,0.3174532739578644,0.7508996891651929
IWM,full,6610,252,8,5.32567168218502,-2.674328317814982,-7.335455317419995,-0.5089956568617141,-2.6068409584542516,0.00913817939621131
IWM,full,6610,252,10,5.32567168218502,-4.674328317814986,-11.89195184036239,-0.8896487378398807,-4.556370446729002,5.2045114573573414e-06
IWM,full,6610,252,20,5.32567168218502,-14.674328317814986,-31.536400790609154,-2.7929141427307096,-14.30401788810273,0.0
IWM,2021_2026,1428,252,0,5.342150062347281,5.342150062347281,13.379213260960373,1.0021423344391316,2.38557591886997,0.01705240231957328
IWM,2021_2026,1428,252,1,5.342150062347281,4.342150062347281,10.558905661355416,0.8145507612441993,1.9390186542801817,0.0524990667381009
IWM,2021_2026,1428,252,2,5.342150062347281,3.3421500623472844,7.8084817047450015,0.6269591880492679,1.4924613896903947,0.13557823183515771
IWM,2021_2026,1428,252,3,5.342150062347281,2.3421500623472777,5.126216491907855,0.4393676148543344,1.0459041251006032,0.2956052996345109
IWM,2021_2026,1428,252,5,5.342150062347281,0.342150062347277,-0.0405262948297612,0.06418446846446985,0.15278959592102564,0.8785642026505922
IWM,2021_2026,1428,252,8,5.342150062347281,-2.657849937652721,-7.320188741268402,-0.4985902511203264,-1.186882197848339,0.23527409021251744
IWM,2021_2026,1428,252,10,5.342150062347281,-4.657849937652725,-11.877437372400879,-0.8737733975101915,-2.079996727027918,0.03752583307494195
IWM,2021_2026,1428,252,20,5.342150062347281,-14.657849937652724,-31.525127994811065,-2.7496891294595134,-6.545569372925803,5.926903412500906e-11
IWM,last3y,753,252,0,7.158908882199345,7.158908882199345,18.604461784885583,1.2937524250738908,2.2363943921376785,0.0253259481622663
